,库深/m,库容,构造活动/基本烈度,震级
count,24.0,24.0,24.0,24.0
mean,108.82916666666667,37.526250000000005,3.3083333333333336,3.170833333333333
std,63.767079411453885,95.38464222443048,1.9622340122525093,1.3437388354777182
min,20.7,0.1,1.0,1.0
25%,58.125,1.5,1.2,2.0
50%,97.0,3.7,2.8,3.0
75%,156.25,23.725,4.775,4.1499999999999995
max,255.0,458.0,7.3,5.7
