,库深/m,库容,构造活动/基本烈度,震级
count,30.0,30.0,30.0,30.0
mean,110.98666666666668,110.79266666666668,5.8100000000000005,4.756666666666667
std,46.88224230642302,282.73862401498144,1.3697092568409772,0.9379667420518716
min,50.4,1.48,1.0,1.0
25%,82.25,13.350000000000001,5.3,4.5
50%,102.0,25.4,5.75,4.75
75%,124.25,82.19999999999999,6.2,5.0
max,242.0,1480.0,8.7,6.5
