,库深/m,库容,构造活动/基本烈度,震级
count,48.0,48.0,48.0,48.0
mean,104.98333333333333,66.45166666666667,4.25,3.7937499999999993
std,53.63493753909568,217.25506111513684,1.8893880580872084,1.250430776836357
min,10.0,0.04,1.0,1.0
25%,73.0,3.15,2.8,3.0
50%,95.5,12.2,4.5,4.0
75%,127.75,37.675,5.7,4.7
max,242.0,1480.0,8.3,6.3
