,库深/m,库容,构造活动/基本烈度,震级
count,66.0,66.0,66.0,66.0
mean,94.87121212121212,30.881212121212126,2.9045454545454543,2.9424242424242424
std,58.40541008963919,74.62754421412536,1.4703669681338127,1.0424911888298523
min,10.0,0.03,1.0,1.0
25%,49.0,1.065,1.8,2.4
50%,84.35,4.1,2.8,3.0
75%,127.75,22.325,3.7,3.5
max,255.0,458.0,6.5,5.2
